id,name,group,transport,volume,tags,price_min,price_avg,price_max,component,source
engine_par_m_travel_01_mk2,PAR M Travel Engine Mk2,engines,equipment,1,engine equipment,65234,72482,79730,engine_par_m_travel_01_mk2_macro,
engine_par_m_travel_01_mk3,PAR M Travel Engine Mk3,engines,equipment,1,engine equipment,331013,367793,404572,engine_par_m_travel_01_mk3_macro,
engine_par_s_allround_01_mk1,PAR S All-round Engine Mk1,engines,equipment,1,engine equipment,5526,6140,6754,engine_par_s_allround_01_mk1_macro,
engine_par_s_allround_01_mk2,PAR S All-round Engine Mk2,engines,equipment,1,engine equipment,26370,29300,32230,engine_par_s_allround_01_mk2_macro,
engine_par_s_allround_01_mk3,PAR S All-round Engine Mk3,engines,equipment,1,engine equipment,123301,137001,150701,engine_par_s_allround_01_mk3_macro,
engine_par_s_combat_01_mk1,PAR S Combat Engine Mk1,engines,equipment,1,engine equipment,8116,9017,9919,engine_par_s_combat_01_mk1_macro,
engine_par_s_combat_01_mk2,PAR S Combat Engine Mk2,engines,equipment,1,engine equipment,40504,45005,49505,engine_par_s_combat_01_mk2_macro,
engine_par_s_combat_01_mk3,PAR S Combat Engine Mk3,engines,equipment,1,engine equipment,181023,201137,221250,engine_par_s_combat_01_mk3_macro,
engine_par_s_travel_01_mk1,PAR S Travel Engine Mk1,engines,equipment,1,engine equipment,6821,7579,8336,engine_par_s_travel_01_mk1_macro,
engine_par_s_travel_01_mk2,PAR S Travel Engine Mk2,engines,equipment,1,engine equipment,34732,38591,42450,engine_par_s_travel_01_mk2_macro,
engine_par_s_travel_01_mk3,PAR S Travel Engine Mk3,engines,equipment,1,engine equipment,166592,185103,203613,engine_par_s_travel_01_mk3_macro,
engine_par_xl_allround_01_mk1,PAR XL All-round Engine Mk1,engines,equipment,1,engine equipment,428301,475890,523479,engine_par_xl_allround_01_mk1_macro,
engine_par_xl_travel_01_mk1,PAR XL Travel Engine Mk1,engines,equipment,1,engine equipment,449716,499685,549653,engine_par_xl_travel_01_mk1_macro,
engine_tel_l_allround_01_mk1,TEL L All-round Engine Mk1,engines,equipment,1,engine equipment,321235,356928,392621,engine_tel_l_allround_01_mk1_macro,
engine_tel_l_travel_01_mk1,TEL L Travel Engine Mk1,engines,equipment,1,engine equipment,337296,374774,412251,engine_tel_l_travel_01_mk1_macro,
engine_tel_m_allround_01_mk1,TEL M All-round Engine Mk1,engines,equipment,1,engine equipment,11757,13064,14370,engine_tel_m_allround_01_mk1_macro,
engine_tel_m_allround_01_mk2,TEL M All-round Engine Mk2,engines,equipment,1,engine equipment,58118,64575,71033,engine_tel_m_allround_01_mk2_macro,
engine_tel_m_allround_01_mk3,TEL M All-round Engine Mk3,engines,equipment,1,engine equipment,287479,319421,351363,engine_tel_m_allround_01_mk3_macro,
engine_tel_m_combat_01_mk1,TEL M Combat Engine Mk1,engines,equipment,1,engine equipment,14345,15939,17533,engine_tel_m_combat_01_mk1_macro,
engine_tel_m_combat_01_mk2,TEL M Combat Engine Mk2,engines,equipment,1,engine equipment,69652,77391,85131,engine_tel_m_combat_01_mk2_macro,
engine_tel_m_combat_01_mk3,TEL M Combat Engine Mk3,engines,equipment,1,engine equipment,345151,383501,421851,engine_tel_m_combat_01_mk3_macro,
engine_tel_m_travel_01_mk1,TEL M Travel Engine Mk1,engines,equipment,1,engine equipment,13051,14501,15952,engine_tel_m_travel_01_mk1_macro,
engine_tel_m_travel_01_mk2,TEL M Travel Engine Mk2,engines,equipment,1,engine equipment,65179,72421,79663,engine_tel_m_travel_01_mk2_macro,
engine_tel_m_travel_01_mk3,TEL M Travel Engine Mk3,engines,equipment,1,engine equipment,330733,367481,404229,engine_tel_m_travel_01_mk3_macro,
engine_tel_s_allround_01_mk1,TEL S All-round Engine Mk1,engines,equipment,1,engine equipment,5522,6135,6749,engine_tel_s_allround_01_mk1_macro,
engine_tel_s_allround_01_mk2,TEL S All-round Engine Mk2,engines,equipment,1,engine equipment,26348,29276,32203,engine_tel_s_allround_01_mk2_macro,
engine_tel_s_allround_01_mk3,TEL S All-round Engine Mk3,engines,equipment,1,engine equipment,123197,136885,150574,engine_tel_s_allround_01_mk3_macro,
engine_tel_s_combat_01_mk1,TEL S Combat Engine Mk1,engines,equipment,1,engine equipment,8110,9011,9912,engine_tel_s_combat_01_mk1_macro,
engine_tel_s_combat_01_mk2,TEL S Combat Engine Mk2,engines,equipment,1,engine equipment,40471,44967,49464,engine_tel_s_combat_01_mk2_macro,
engine_tel_s_combat_01_mk3,TEL S Combat Engine Mk3,engines,equipment,1,engine equipment,180869,200966,221062,engine_tel_s_combat_01_mk3_macro,
engine_tel_s_travel_01_mk1,TEL S Travel Engine Mk1,engines,equipment,1,engine equipment,6816,7573,8330,engine_tel_s_travel_01_mk1_macro,
engine_tel_s_travel_01_mk2,TEL S Travel Engine Mk2,engines,equipment,1,engine equipment,34703,38559,42415,engine_tel_s_travel_01_mk2_macro,
engine_tel_s_travel_01_mk3,TEL S Travel Engine Mk3,engines,equipment,1,engine equipment,199741,221935,244128,engine_tel_s_travel_01_mk3_macro,
engine_tel_xl_allround_01_mk1,TEL XL All-round Engine Mk1,engines,equipment,1,engine equipment,423689,470766,517843,engine_tel_xl_allround_01_mk1_macro,
engine_tel_xl_travel_01_mk1,TEL XL Travel Engine Mk1,engines,equipment,1,engine equipment,444873,494304,543734,engine_tel_xl_travel_01_mk1_macro,
engine_xen_l_allround_01_mk1,XEN L All-round Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,321322,357024,392726,engine_xen_l_allround_01_mk1_macro,
engine_xen_l_allround_02_mk1,XEN L All-round Engine Mk1,engines,equipment,1,engine equipment,321322,357024,392726,engine_xen_l_allround_02_mk1_macro,
engine_xen_m_combat_01_mk1,XEN M Combat Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,15811,17568,19325,engine_xen_m_combat_01_mk1_macro,
engine_xen_m_travel_01_mk1,XEN M Travel Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,14256,15840,17424,engine_xen_m_travel_01_mk1_macro,
engine_xen_m_virtual_01_mk1,XEN M Combat Engine Mk1,engines,equipment,1,engine equipment,15811,17568,19325,engine_xen_m_virtual_01_mk1_macro,
engine_xen_s_combat_01_mk1,XEN S Combat Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,6134,6816,7498,engine_xen_s_combat_01_mk1_macro,
engine_xen_s_virtual_01_mk1,XEN S Combat Engine Mk1,engines,equipment,1,engine equipment,6134,6816,7498,engine_xen_s_virtual_01_mk1_macro,
engine_xen_xl_allround_01_mk1,XEN XL All-round Engine Mk1,engines,equipment,1,engine equipment noplayerblueprint,424138,471264,518390,engine_xen_xl_allround_01_mk1_macro,
fieldcoils,Field Coils,shiptech,container,15,container economy stationbuilding,247,412,576,,
foodrations,Food Rations,food,container,1,container economy,12,21,29,,
graphene,Graphene,refined,container,20,container economy,100,166,233,,
helium,Helium,gases,liquid,6,economy gas liquid minable,37,44,51,,
hullparts,Hull Parts,hightech,container,12,container economy stationbuilding,146,209,272,,
hydrogen,Hydrogen,gases,liquid,6,economy gas liquid minable,49,58,67,,
ice,Ice,ice,solid,8,economy minable mineral solid,26,30,35,,
inv_advancedtargetingmodule,Advanced Targeting Module,hardware,inventory,1,inventory tradeonly,8548,10056,11565,,
inv_agidevice_01,AGI Processor,contraband,inventory,1,crafting inventory,7939,10585,13232,,
inv_agidevice_02,AGI Heuristic Core,contraband,inventory,1,crafting inventory,3879,4563,5248,,
inv_agidevice_03,AGI Neural Network,contraband,inventory,1,crafting inventory,7488,9983,12479,,
inv_algaescrubber,Algae Scrubber,generalitem,inventory,1,inventory tradeonly,742,872,1003,,
inv_antimatter_injection_sensor,Antimatter Injection Sensor,,inventory,1,inventory missiononly,1,1,1,,
inv_aquamarine_pearl,Aquamarine Pearl,,inventory,1,inventory missiononly,1,1,1,,
inv_aquaponicvegetable,Aquaponic Vegetables,luxuryitem,inventory,1,bribe crafting inventory,4298,5056,5814,,
inv_argnusteak,Argnu Steak,luxuryitem,inventory,1,crafting inventory,644,757,871,,
inv_argnu_softtoy,Argnu Soft Toy,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_argon_voting_ballot,Argon Voting Ballot,,inventory,1,inventory missiononly,1,1,1,,
inv_artificial_paranid_eye,Artificial Paranid Eye,,inventory,1,inventory missiononly,1,1,1,,
inv_bandages,Bandages,generalitem,inventory,1,crafting inventory,96,112,129,,
inv_biometric_data,Biometric Data,,inventory,1,inventory missiononly,1,1,1,,
inv_bionic_augmentation,Bionic Augmentation,,inventory,1,inventory missiononly,1,1,1,,
inv_bofu_burger,BoFu Burger,,inventory,1,inventory missiononly,1,1,1,,
inv_bone_fragments,Bone Fragments,,inventory,1,inventory missiononly,1,1,1,,
inv_boost_injection_regulator,Boost Injection Regulator,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_bootleg_entertainment,Bootleg Entertainment,,inventory,1,inventory missiononly,1,1,1,,
inv_boron_pheromone_sample,Boron Pheromone Sample,,inventory,1,inventory missiononly,1,1,1,,
inv_bottle_musk,Bottle of Musk,,inventory,1,inventory missiononly,1,1,1,,
inv_bridge_display_node,Bridge Display Node,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_cahoonas,Cahoonas,luxuryitem,inventory,1,crafting inventory,225,265,305,,
inv_capacitor,Capacitor,hardware,inventory,1,crafting inventory,367,432,497,,
inv_carbonfilter,Carbon Filter,generalitem,inventory,1,inventory tradeonly,691,812,934,,
inv_charged_particle_regulator,Charged Particle Regulator,,inventory,1,inventory missiononly,1,1,1,,
inv_command_terminal_connector,Command Terminal Connector,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_confidential_dossier,Confidential Dossier,,inventory,1,inventory missiononly,1,1,1,,
inv_contaminated_soil_sample,Contaminated Soil Sample,,inventory,1,inventory missiononly,1,1,1,,
inv_cosmetics_kit,Cosmetics Kit,,inventory,1,inventory missiononly,1,1,1,,
inv_counterfeit_luxury_goods,Counterfeit Luxury Goods,,inventory,1,inventory missiononly,1,1,1,,
inv_crystalbinder,Crystal Binder,generalitem,inventory,1,crafting inventory,708,833,958,,
inv_crystalbit,Crystal Bit,curiosity,inventory,1,crafting inventory,827,972,1118,,
inv_crystal_01,Bandannite Crystal,curiosity,inventory,1,crafting inventory,850,1000,1150,collectable_crystal_s_01_macro,
inv_crystal_02,Menelaene Crystal,curiosity,inventory,1,inventory tradeonly,8500,10000,11500,collectable_crystal_s_02_macro,
inv_crystal_03,Aguilite Crystal,curiosity,inventory,1,inventory tradeonly,12000,15000,17000,collectable_crystal_s_03_macro,
inv_crystal_04,Mitonene Crystal,curiosity,inventory,1,inventory tradeonly,15555,20000,24500,collectable_crystal_s_04_macro,
inv_crystal_05,Burnite Crystal,curiosity,inventory,1,inventory tradeonly,100000,125000,150000,collectable_crystal_s_05_macro,
inv_damagedsingularityengine,Damaged Singularity Engine,hardware,inventory,1,inventory tradeonly,88886,118514,148143,,
inv_damaged_keycard,Damaged Key Card,,inventory,1,inventory missiononly,1,1,1,,
inv_datafragment,Data Fragment,hardware,inventory,1,crafting inventory,1088,1280,1472,,
inv_decryptionmodule,Decryption Module,contraband,inventory,1,crafting inventory,7668,9021,10375,,
inv_digitalseminar_boarding,Digital Seminar (Boarding),,inventory,1,deprecated gift inventory,85,100,115,,
inv_digitalseminar_engineering,Digital Seminar (Engineering),,inventory,1,deprecated gift inventory,85,100,115,,
inv_digitalseminar_management,Digital Seminar (Management),,inventory,1,deprecated gift inventory,85,100,115,,
inv_digitalseminar_morale,Digital Seminar (Morale),,inventory,1,deprecated gift inventory,85,100,115,,
inv_digitalseminar_piloting,Digital Seminar (Piloting),,inventory,1,deprecated gift inventory,85,100,115,,
inv_dna_sample,DNA Sample,,inventory,1,inventory missiononly,1,1,1,,
inv_electronics,Electronics,generalitem,inventory,1,crafting inventory,17058,20068,23078,,
inv_encrypted_accesskey,Encrypted Access Key,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_contract,Encrypted Contract,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_espionagedocument,Encrypted Espionage Documents,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_evidence,Encrypted Evidence,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_malware,Encrypted Malware,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_recording,Encrypted Recording,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_report,Encrypted Report,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_encrypted_researchpaper,Encrypted Research Paper,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_experimental_medicine,Experimental Vaccine,,inventory,1,inventory missiononly,1,1,1,,
inv_eyepatch,Eye Patch,,inventory,1,inventory missiononly,1,1,1,,
inv_familyheirloom,Family Heirloom,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_fidget_toy,Fidget Toy,,inventory,1,inventory missiononly,1,1,1,,
inv_finemeal,Fine Meal,luxuryitem,inventory,1,bribe crafting inventory,12786,15042,17299,,
inv_firstaidkit,First Aid Kit,generalitem,inventory,1,crafting inventory,8944,10523,12101,,
inv_fluxcapacitor,Flux Capacitor,generalitem,inventory,1,inventory tradeonly,97365,129819,162274,,
inv_glass_figurine,Glass Figurine,,inventory,1,inventory missiononly,1,1,1,,
inv_glowmalt,Glow Malt,luxuryitem,inventory,1,crafting inventory,1839,2164,2489,,
inv_hallucinogenics,Hallucinogenics,contraband,inventory,1,crafting inventory,6264,8352,10440,,
inv_harddrug_01,Delirium,contraband,inventory,1,crafting inventory,45671,60895,76118,,
inv_harmonicresonator,Harmonic Resonator,luxuryitem,inventory,1,bribe crafting inventory,10625,12500,14375,,
inv_hatikvah_dossier_dalbusta,Hatikvah Dossier: Dal Busta,,inventory,1,inventory missiononly,1,1,1,,
inv_head_of_split,Head of a Split,,inventory,1,inventory missiononly,8500000,10000000,11500000,,
inv_herbicide,Herbicide,generalitem,inventory,1,inventory tradeonly,201,236,272,,
inv_holyorder_cipher,Holy Order Cipher,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_hotdogs,"Jar of ""Cerberus"" Brand Hotdogs",,inventory,1,inventory missiononly,1,1,1,,
inv_hydraulicpump,Hydraulic Pump,generalitem,inventory,1,inventory tradeonly,408,479,551,,
inv_infusedbeverage,Infused Beverage,luxuryitem,inventory,1,bribe crafting inventory,8363,9839,11315,,
inv_interfaceunit,Interface Unit,hardware,inventory,1,crafting inventory,811,954,1098,,
inv_kyondevice_01,Kyon Crystallite,curiosity,inventory,1,inventory,15018,20023,25029,,
inv_kyondevice_02,Kyon Crystal Shard,curiosity,inventory,1,inventory,34544,40639,46735,,
inv_kyondevice_03,Kyon Crystal,curiosity,inventory,1,inventory,60409,80545,100682,,
inv_lastwill_testament,Last Will and Testament,,inventory,1,inventory missiononly,1,1,1,,
inv_leather_journal,Leather Journal,,inventory,1,inventory missiononly,1,1,1,,
inv_lostfragment,Lost Fragment,curiosity,inventory,1,crafting inventory,627,738,849,,
inv_magneticmaterial,Lodestone,curiosity,inventory,1,crafting inventory,46,54,63,,
inv_majaglit,Majaglit,luxuryitem,inventory,1,bribe crafting inventory,2833,3333,3833,,
inv_massompowder,Massom Powder,luxuryitem,inventory,1,crafting inventory,802,943,1084,,
inv_microbrewdrink,Microbrew Drink,luxuryitem,inventory,1,bribe crafting inventory,8643,10169,11694,,
inv_microgimble,Micro-Gimbal,generalitem,inventory,1,inventory tradeonly,553,650,748,,
inv_micromotor,Micro-Motor,generalitem,inventory,1,inventory tradeonly,482,567,653,,
inv_mixedfruit,Mixed Fruit,luxuryitem,inventory,1,crafting inventory,342,402,463,,
inv_modulartrigger,Modular Trigger,hardware,inventory,1,inventory tradeonly,482,567,653,,
inv_morpher_globe,Morpher Globe,,inventory,1,inventory missiononly,1,1,1,,
inv_nanite_fabricator,Nanite Fabricator,,inventory,1,inventory missiononly,1,1,1,,
inv_nautical_telescope,Brass Nautical Telescope,,inventory,1,inventory missiononly,1,1,1,,
inv_needle,Needle,generalitem,inventory,1,crafting inventory,544,640,736,,
inv_neuralstimulator,Neural Stimulator,contraband,inventory,1,bribe crafting inventory,11341,13342,15343,,
inv_nishala_oceanwater_sample,Nishala Ocean Water Sample,,inventory,1,inventory missiononly,1,1,1,,
inv_nividiumdreams_scalemodel,Nividium Dreams Scale Model,,inventory,1,inventory missiononly,1,1,1,,
inv_nividiumjewel,Nividium Jewel,luxuryitem,inventory,1,bribe crafting inventory,13243,15581,17918,,
inv_nividium_hifi_cable,Nividium-plated Hi-fi Cable,,inventory,1,inventory missiononly,1,1,1,,
inv_nividium_scalescraper,Nividium Scale-Scraper,,inventory,1,inventory missiononly,1,1,1,,
inv_nyanasfortune_scalemodel,Nyana's Fortune Scale Model,,inventory,1,inventory missiononly,1,1,1,,
inv_paranid_religious_tract,Paranid Religious Tract,,inventory,1,inventory missiononly,1,1,1,,
inv_preciousring,Precious Ring,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_pricelessart,Priceless Art,,inventory,1,inventory missiononly tradeonly,1,1,1,,
inv_processing_panel_12G,Processing Panel Unit 12G,curiosity,inventory,1,inventory nocustomgamestart,42539,46746,50953,,
inv_processing_panel_19L,Processing Panel Unit 19L,curiosity,inventory,1,inventory nocustomgamestart,21704,23850,25997,,
inv_processing_panel_46B,Processing Panel Unit 46B,curiosity,inventory,1,inventory nocustomgamestart,6077,6678,7279,,
inv_processing_panel_7A,Processing Panel Unit 7A,curiosity,inventory,1,inventory nocustomgamestart,2604,2862,3120,,
inv_processing_panel_8X,Processing Panel Unit 8X,curiosity,inventory,1,inventory nocustomgamestart,11286,12402,13518,,
inv_produce,Produce,luxuryitem,inventory,1,crafting inventory,97,114,131,,
inv_programmablefieldarray,Programmable Field Array,hardware,inventory,1,inventory tradeonly,105882,141176,176470,,
inv_quantum_data_shard,AGI Quantum Data Shard,curiosity,inventory,1,inventory nocustomgamestart tradeonly,47635,56042,64448,,
inv_rapidsandfilter,Rapid Sand Filter,generalitem,inventory,1,inventory tradeonly,673,791,910,,
inv_rareartefact,Rare Artifact,curiosity,inventory,1,bribe crafting inventory,7781,9154,10527,,
inv_rarespices,Rare Spices,luxuryitem,inventory,1,crafting inventory,819,963,1108,,
inv_reactor_control_fuse,Reactor Control Fuse,,inventory,1,inventory missiononly nocustomgamestart,1,1,1,,
inv_remotedetonator,Remote Detonator,hardware,inventory,1,crafting inventory,13513,15897,18282,,
inv_salvagedelectronics,Salvaged Electronics,generalitem,inventory,1,crafting inventory,124,145,167,,
inv_sandwell_archive_pass,Sandwell Archive Pass,,inventory,1,inventory missiononly,1,1,1,,
inv_sealed_vacuum_tubes,Sealed Vacuum Tube,,inventory,1,inventory missiononly,1,1,1,,
inv_securecontainer,Secure Container,generalitem,inventory,1,crafting inventory,3877,4561,5246,,
inv_securitybypasssystem,Security Bypass System,contraband,inventory,1,crafting inventory,141704,155605,169507,,
inv_securitydecryptionsystem,Security Decryption System,contraband,inventory,1,crafting inventory,151704,165606,179507,,
inv_securityslicer,Security Slicer,contraband,inventory,1,crafting inventory,146704,159605,185507,,
inv_sedative,Sedative,generalitem,inventory,1,crafting inventory,223,262,302,,
inv_segarian_research,Qualitative Research on Segarian Terraforming,,inventory,1,inventory missiononly,1,1,1,,
inv_seminar_management_0,Basic Seminar (Management),,inventory,1,gift inventory level0 management seminar,3925,4620,5315,,
inv_seminar_management_1,Seminar for 1-Star Crew (Management),,inventory,1,gift inventory level1 management seminar,8415,9900,11385,,
inv_seminar_management_2,Seminar for 2-Star Crew (Management),,inventory,1,gift inventory level2 management seminar,1675,19680,22635,,
inv_seminar_management_3,Seminar for 3-Star Crew (Management),,inventory,1,gift inventory level3 management seminar,55590,65400,75210,,
inv_seminar_management_4,Advanced Seminar for 4-Star Crew (Management),,inventory,1,gift inventory level4 management seminar,86700,102000,117300,,
inv_seminar_piloting_0,Basic Seminar (Piloting),,inventory,1,gift inventory level0 piloting seminar,3645,4290,4934,,
