ware,method,time,amount,input_ware,input_amount,work_effect
engine_tel_m_combat_01_mk1,default,15,1,engineparts,7,
engine_tel_m_combat_01_mk2,default,15,1,antimatterconverters,22,
engine_tel_m_combat_01_mk2,default,15,1,energycells,30,
engine_tel_m_combat_01_mk2,default,15,1,engineparts,26,
engine_tel_m_combat_01_mk3,default,15,1,antimatterconverters,110,
engine_tel_m_combat_01_mk3,default,15,1,energycells,60,
engine_tel_m_combat_01_mk3,default,15,1,engineparts,130,
engine_tel_m_travel_01_mk1,default,15,1,antimatterconverters,3,
engine_tel_m_travel_01_mk1,default,15,1,energycells,15,
engine_tel_m_travel_01_mk1,default,15,1,engineparts,6,
engine_tel_m_travel_01_mk2,default,15,1,antimatterconverters,20,
engine_tel_m_travel_01_mk2,default,15,1,energycells,30,
engine_tel_m_travel_01_mk2,default,15,1,engineparts,25,
engine_tel_m_travel_01_mk3,default,15,1,antimatterconverters,105,
engine_tel_m_travel_01_mk3,default,15,1,energycells,60,
engine_tel_m_travel_01_mk3,default,15,1,engineparts,125,
engine_tel_s_allround_01_mk1,default,10,1,energycells,10,
engine_tel_s_allround_01_mk1,default,10,1,engineparts,4,
engine_tel_s_allround_01_mk2,default,10,1,antimatterconverters,8,
engine_tel_s_allround_01_mk2,default,10,1,energycells,20,
engine_tel_s_allround_01_mk2,default,10,1,engineparts,10,
engine_tel_s_allround_01_mk3,default,10,1,antimatterconverters,40,
engine_tel_s_allround_01_mk3,default,10,1,energycells,40,
engine_tel_s_allround_01_mk3,default,10,1,engineparts,45,
engine_tel_s_combat_01_mk1,default,10,1,energycells,10,
engine_tel_s_combat_01_mk1,default,10,1,engineparts,6,
engine_tel_s_combat_01_mk2,default,10,1,antimatterconverters,12,
engine_tel_s_combat_01_mk2,default,10,1,energycells,20,
engine_tel_s_combat_01_mk2,default,10,1,engineparts,16,
engine_tel_s_combat_01_mk3,default,10,1,antimatterconverters,60,
engine_tel_s_combat_01_mk3,default,10,1,energycells,40,
engine_tel_s_combat_01_mk3,default,10,1,engineparts,65,
engine_tel_s_travel_01_mk1,default,10,1,energycells,10,
engine_tel_s_travel_01_mk1,default,10,1,engineparts,5,
engine_tel_s_travel_01_mk2,default,10,1,antimatterconverters,10,
engine_tel_s_travel_01_mk2,default,10,1,energycells,20,
engine_tel_s_travel_01_mk2,default,10,1,engineparts,14,
engine_tel_s_travel_01_mk3,default,10,1,antimatterconverters,55,
engine_tel_s_travel_01_mk3,default,10,1,energycells,40,
engine_tel_s_travel_01_mk3,default,10,1,engineparts,60,
engine_tel_xl_allround_01_mk1,default,30,1,antimatterconverters,193,
engine_tel_xl_allround_01_mk1,default,30,1,energycells,50,
engine_tel_xl_allround_01_mk1,default,30,1,engineparts,89,
engine_tel_xl_travel_01_mk1,default,30,1,antimatterconverters,196,
engine_tel_xl_travel_01_mk1,default,30,1,energycells,50,
engine_tel_xl_travel_01_mk1,default,30,1,engineparts,100,
engine_xen_l_allround_01_mk1,default,8,1,energycells,25,
engine_xen_l_allround_01_mk1,default,8,1,ore,411,
engine_xen_l_allround_01_mk1,default,8,1,silicon,411,
engine_xen_l_allround_02_mk1,default,8,1,antimatterconverters,80,
engine_xen_l_allround_02_mk1,default,8,1,energycells,25,
engine_xen_l_allround_02_mk1,default,8,1,engineparts,50,
engine_xen_l_allround_02_mk1,xenon,8,1,energycells,25,
engine_xen_l_allround_02_mk1,xenon,8,1,ore,411,
engine_xen_l_allround_02_mk1,xenon,8,1,silicon,411,
engine_xen_m_combat_01_mk1,default,4,1,energycells,15,
engine_xen_m_combat_01_mk1,default,4,1,ore,19,
engine_xen_m_combat_01_mk1,default,4,1,silicon,19,
engine_xen_m_travel_01_mk1,default,10,1,energycells,15,
engine_xen_m_travel_01_mk1,default,10,1,ore,17,
engine_xen_m_travel_01_mk1,default,10,1,silicon,17,
engine_xen_m_virtual_01_mk1,default,4,1,antimatterconverters,40,
engine_xen_m_virtual_01_mk1,default,4,1,energycells,15,
engine_xen_m_virtual_01_mk1,default,4,1,engineparts,22,
engine_xen_m_virtual_01_mk1,xenon,4,1,energycells,15,
engine_xen_m_virtual_01_mk1,xenon,4,1,ore,19,
engine_xen_m_virtual_01_mk1,xenon,4,1,silicon,19,
engine_xen_s_combat_01_mk1,default,2,1,energycells,10,
engine_xen_s_combat_01_mk1,default,2,1,ore,7,
engine_xen_s_combat_01_mk1,default,2,1,silicon,7,
engine_xen_s_virtual_01_mk1,default,2,1,antimatterconverters,15,
engine_xen_s_virtual_01_mk1,default,2,1,energycells,10,
engine_xen_s_virtual_01_mk1,default,2,1,engineparts,10,
engine_xen_s_virtual_01_mk1,xenon,2,1,energycells,10,
engine_xen_s_virtual_01_mk1,xenon,2,1,ore,7,
engine_xen_s_virtual_01_mk1,xenon,2,1,silicon,7,
engine_xen_xl_allround_01_mk1,default,16,1,energycells,50,
engine_xen_xl_allround_01_mk1,default,16,1,ore,541,
engine_xen_xl_allround_01_mk1,default,16,1,silicon,541,
fieldcoils,default,600,175,energycells,60,0.43
fieldcoils,default,600,175,plasmaconductors,40,0.43
fieldcoils,default,600,175,quantumtubes,43,0.43
foodrations,default,240,460,energycells,100,0.35
foodrations,default,240,460,meat,40,0.35
foodrations,default,240,460,spices,40,0.35
foodrations,default,240,460,wheat,40,0.35
graphene,default,240,96,energycells,80,0.46
graphene,default,240,96,methane,320,0.46
hullparts,default,900,294,energycells,80,0.37
hullparts,default,900,294,graphene,40,0.37
hullparts,default,900,294,refinedmetals,280,0.37
hullparts,recycling,300,200,energycells,3500,0.37
hullparts,recycling,300,200,scrapmetal,75,0.37
hullparts,teladi,900,294,energycells,80,0.37
hullparts,teladi,900,294,graphene,40,0.37
hullparts,teladi,900,294,teladianium,204,0.37
inv_aquaponicvegetable,default,10,1,inv_massompowder,1,
inv_aquaponicvegetable,default,10,1,inv_produce,10,
inv_electronics,default,10,1,inv_magneticmaterial,1,
inv_electronics,default,10,1,inv_salvagedelectronics,25,
inv_finemeal,default,10,1,inv_argnusteak,5,
inv_finemeal,default,10,1,inv_mixedfruit,3,
inv_finemeal,default,10,1,inv_rarespices,3,
inv_firstaidkit,default,10,1,inv_bandages,1,
inv_firstaidkit,default,10,1,inv_needle,1,
inv_firstaidkit,default,10,1,inv_sedative,1,
inv_harddrug_01,default,10,1,inv_hallucinogenics,3,
inv_harddrug_01,default,10,1,inv_needle,1,
inv_harmonicresonator,default,10,1,inv_capacitor,1,
inv_harmonicresonator,default,10,1,inv_crystalbit,5,
inv_infusedbeverage,default,10,1,inv_glowmalt,1,
inv_infusedbeverage,default,10,1,inv_massompowder,1,
inv_majaglit,default,10,1,inv_crystalbinder,1,
inv_majaglit,default,10,1,inv_snailshells,5,
inv_microbrewdrink,default,10,1,inv_glowmalt,1,
inv_microbrewdrink,default,10,1,inv_mixedfruit,3,
inv_neuralstimulator,default,10,1,inv_hallucinogenics,1,
inv_neuralstimulator,default,10,1,inv_interfaceunit,1,
inv_nividiumjewel,default,10,1,inv_crystal_01,1,
inv_nividiumjewel,default,10,1,inv_crystalbinder,1,
inv_rareartefact,default,10,1,inv_lostfragment,1,
inv_rareartefact,default,10,1,inv_securecontainer,1,
inv_securitybypasssystem,default,10,1,inv_agidevice_03,1,
inv_securitybypasssystem,default,10,1,inv_decryptionmodule,1,
inv_securitybypasssystem,default,10,1,inv_interfaceunit,1,
inv_securitydecryptionsystem,default,10,1,inv_agidevice_02,5,
inv_securitydecryptionsystem,default,10,1,inv_decryptionmodule,1,
inv_securitydecryptionsystem,default,10,1,inv_interfaceunit,1,
inv_securityslicer,default,10,1,inv_agidevice_01,1,
inv_securityslicer,default,10,1,inv_decryptionmodule,1,
inv_securityslicer,default,10,1,inv_interfaceunit,1,
inv_spacedyepizza,default,10,1,inv_cahoonas,3,
inv_spacedyepizza,default,10,1,inv_produce,5,
inv_spacedyepizza,default,10,1,inv_rarespices,3,
inv_spaceflycaviar,default,10,1,inv_rarespices,5,
inv_spaceflycaviar,default,10,1,inv_spaceflyeggs,25,
inv_xenotext,default,10,1,inv_datafragment,1,
inv_xenotext,default,10,1,inv_xenoinscriptions,1,
khaakalloy,recycling,300,100,energycells,6000,0.37
khaakalloy,recycling,300,100,khaakscrapmetal,300,0.37
khaakalloy,recycling,300,100,nividium,200,0.37
khaakscrapmetal,processing,60,1,energycells,10,
khaakscrapmetal,processing,60,1,rawkhaakscrap,1,
majadust,default,600,64,energycells,40,0.75
majadust,default,600,64,majasnails,120,0.75
majadust,default,600,64,spices,60,0.75
majasnails,default,450,146,energycells,40,0.59
majasnails,default,450,146,water,100,0.59
meat,default,450,290,energycells,80,0.33
meat,default,450,290,water,100,0.33
medicalsupplies,default,300,208,energycells,100,0.28
medicalsupplies,default,300,208,spices,40,0.28
medicalsupplies,default,300,208,water,60,0.28
medicalsupplies,default,300,208,wheat,30,0.28
medicalsupplies,paranid,300,208,energycells,100,0.28
medicalsupplies,paranid,300,208,sojabeans,10,0.28
medicalsupplies,paranid,300,208,spices,40,0.28
medicalsupplies,paranid,300,208,water,60,0.28
medicalsupplies,teladi,300,208,energycells,100,0.28
medicalsupplies,teladi,300,208,spices,40,0.28
medicalsupplies,teladi,300,208,sunriseflowers,12,0.28
medicalsupplies,teladi,300,208,water,60,0.28
microchips,default,600,72,energycells,50,0.36
microchips,default,600,72,siliconwafers,200,0.36
missilecomponents,default,900,281,advancedcomposites,2,0.53
missilecomponents,default,900,281,energycells,20,0.53
missilecomponents,default,900,281,hullparts,2,0.53
missile_cluster_heavy_mk1,default,3,1,energycells,30,
missile_cluster_heavy_mk1,default,3,1,missilecomponents,12,
missile_cluster_heavy_mk1,xenon,3,1,energycells,8,
missile_cluster_heavy_mk1,xenon,3,1,ore,4,
missile_cluster_heavy_mk1,xenon,3,1,silicon,3,
missile_cluster_light_mk1,default,1.5,1,energycells,15,
missile_cluster_light_mk1,default,1.5,1,missilecomponents,4,
missile_cluster_light_mk1,xenon,2,1,energycells,6,
missile_cluster_light_mk1,xenon,2,1,ore,2,
missile_cluster_light_mk1,xenon,2,1,silicon,1,
missile_dumbfire_heavy_mk1,default,1,1,energycells,7,
missile_dumbfire_heavy_mk1,default,1,1,missilecomponents,5,
missile_dumbfire_heavy_mk1,xenon,10,1,energycells,2,
missile_dumbfire_heavy_mk1,xenon,10,1,ore,1,
missile_dumbfire_heavy_mk1,xenon,10,1,silicon,1,
missile_dumbfire_heavy_mk2,default,1.5,1,energycells,14,
missile_dumbfire_heavy_mk2,default,1.5,1,missilecomponents,25,
missile_dumbfire_heavy_mk2,xenon,10,1,energycells,9,
missile_dumbfire_heavy_mk2,xenon,10,1,ore,4,
missile_dumbfire_heavy_mk2,xenon,10,1,silicon,3,
missile_dumbfire_light_mk1,default,1,1,energycells,5,
missile_dumbfire_light_mk1,default,1,1,missilecomponents,1,
missile_dumbfire_light_mk1,xenon,10,1,energycells,1,
missile_dumbfire_light_mk1,xenon,10,1,ore,1,
missile_dumbfire_light_mk1,xenon,10,1,silicon,1,
missile_dumbfire_light_mk2,default,1.5,1,energycells,10,
missile_dumbfire_light_mk2,default,1.5,1,missilecomponents,5,
missile_dumbfire_light_mk2,xenon,10,1,energycells,2,
missile_dumbfire_light_mk2,xenon,10,1,ore,2,
missile_dumbfire_light_mk2,xenon,10,1,silicon,1,
missile_emp_mk1,default,1,1,energycells,10,
missile_emp_mk1,default,1,1,missilecomponents,11,
missile_emp_mk1,xenon,10,1,energycells,10,
missile_emp_mk1,xenon,10,1,ore,2,
missile_emp_mk1,xenon,10,1,silicon,1,
missile_gen_l_dumbfire_01_mk1,default,3,1,energycells,38,
missile_gen_l_dumbfire_01_mk1,default,3,1,missilecomponents,17,
missile_gen_l_dumbfire_01_mk1,xenon,3,1,energycells,9,
missile_gen_l_dumbfire_01_mk1,xenon,3,1,ore,4,
missile_gen_l_dumbfire_01_mk1,xenon,3,1,silicon,3,
missile_gen_l_guided_01_mk1,default,3,1,energycells,43,
missile_gen_l_guided_01_mk1,default,3,1,missilecomponents,13,
missile_gen_l_guided_01_mk1,default,3,1,smartchips,6,
missile_gen_l_guided_01_mk1,xenon,3,1,energycells,14,
missile_gen_l_guided_01_mk1,xenon,3,1,ore,7,
missile_gen_l_guided_01_mk1,xenon,3,1,silicon,4,
missile_gen_m_dumbfire_01_mk1,default,3,1,energycells,17,
missile_gen_m_dumbfire_01_mk1,default,3,1,missilecomponents,8,
missile_gen_m_dumbfire_01_mk1,xenon,3,1,energycells,4,
missile_gen_m_dumbfire_01_mk1,xenon,3,1,ore,2,
missile_gen_m_dumbfire_01_mk1,xenon,3,1,silicon,1,
missile_gen_m_dumbfire_01_mk2,default,3,1,energycells,21,
missile_gen_m_dumbfire_01_mk2,default,3,1,missilecomponents,9,
missile_gen_m_dumbfire_01_mk2,xenon,3,1,energycells,5,
missile_gen_m_dumbfire_01_mk2,xenon,3,1,ore,2,
missile_gen_m_dumbfire_01_mk2,xenon,3,1,silicon,2,
missile_gen_m_guided_01_mk1,default,3,1,energycells,24,
missile_gen_m_guided_01_mk1,default,3,1,missilecomponents,7,
missile_gen_m_guided_01_mk1,default,3,1,smartchips,3,
missile_gen_m_guided_01_mk1,xenon,3,1,energycells,8,
missile_gen_m_guided_01_mk1,xenon,3,1,ore,4,
missile_gen_m_guided_01_mk1,xenon,3,1,silicon,2,
missile_gen_m_smart_01_mk1,default,3,1,energycells,31,
missile_gen_m_smart_01_mk1,default,3,1,missilecomponents,9,
missile_gen_m_smart_01_mk1,default,3,1,smartchips,4,
missile_gen_m_smart_01_mk1,xenon,3,1,energycells,10,
missile_gen_m_smart_01_mk1,xenon,3,1,ore,5,
missile_gen_m_smart_01_mk1,xenon,3,1,silicon,3,
missile_gen_s_dumbfire_01_mk1,default,3,1,energycells,10,
missile_gen_s_dumbfire_01_mk1,default,3,1,missilecomponents,4,
missile_gen_s_dumbfire_01_mk1,xenon,3,1,energycells,2,
missile_gen_s_dumbfire_01_mk1,xenon,3,1,ore,1,
missile_gen_s_dumbfire_01_mk1,xenon,3,1,silicon,1,
missile_gen_s_dumbfire_01_mk2,default,3,1,energycells,12,
missile_gen_s_dumbfire_01_mk2,default,3,1,missilecomponents,5,
missile_gen_s_dumbfire_01_mk2,xenon,3,1,energycells,3,
missile_gen_s_dumbfire_01_mk2,xenon,3,1,ore,1,
missile_gen_s_dumbfire_01_mk2,xenon,3,1,silicon,1,
missile_gen_s_emp_01_mk1,default,3,1,energycells,15,
missile_gen_s_emp_01_mk1,default,3,1,missilecomponents,4,
missile_gen_s_emp_01_mk1,default,3,1,smartchips,2,
missile_gen_s_emp_01_mk1,xenon,3,1,energycells,5,
missile_gen_s_emp_01_mk1,xenon,3,1,ore,2,
missile_gen_s_emp_01_mk1,xenon,3,1,silicon,2,
missile_gen_s_guided_01_mk1,default,3,1,energycells,12,
missile_gen_s_guided_01_mk1,default,3,1,missilecomponents,4,
missile_gen_s_guided_01_mk1,default,3,1,smartchips,2,
missile_gen_s_guided_01_mk1,xenon,3,1,energycells,4,
missile_gen_s_guided_01_mk1,xenon,3,1,ore,2,
missile_gen_s_guided_01_mk1,xenon,3,1,silicon,1,
missile_gen_s_heatseeker_01_mk1,default,3,1,energycells,11,
missile_gen_s_heatseeker_01_mk1,default,3,1,missilecomponents,3,
missile_gen_s_heatseeker_01_mk1,default,3,1,smartchips,1,
missile_gen_s_heatseeker_01_mk1,xenon,3,1,energycells,4,
missile_gen_s_heatseeker_01_mk1,xenon,3,1,ore,2,
missile_gen_s_heatseeker_01_mk1,xenon,3,1,silicon,1,
missile_gen_s_smart_01_mk1,default,3,1,energycells,14,
missile_gen_s_smart_01_mk1,default,3,1,missilecomponents,4,
missile_gen_s_smart_01_mk1,default,3,1,smartchips,2,
missile_gen_s_smart_01_mk1,xenon,3,1,energycells,5,
missile_gen_s_smart_01_mk1,xenon,3,1,ore,2,
missile_gen_s_smart_01_mk1,xenon,3,1,silicon,1,
missile_gen_s_swarm_01_mk1,default,3,1,energycells,13,
missile_gen_s_swarm_01_mk1,default,3,1,missilecomponents,4,
missile_gen_s_swarm_01_mk1,default,3,1,smartchips,2,
missile_gen_s_swarm_01_mk1,xenon,3,1,energycells,4,
missile_gen_s_swarm_01_mk1,xenon,3,1,ore,2,
missile_gen_s_swarm_01_mk1,xenon,3,1,silicon,1,
missile_gen_s_torpedo_01_mk1,default,3,1,energycells,29,
missile_gen_s_torpedo_01_mk1,default,3,1,missilecomponents,9,
missile_gen_s_torpedo_01_mk1,default,3,1,smartchips,4,
