macro,model,class,race,purpose,hull,mass,cargo,cargo_tags,crew,price,drag_forward,source
ship_arg_l_trans_container_05_b_macro,Sonra Sentinel,L,argon,trade,80000,590,34800,container,148,4294770,140,
ship_kha_l_destroyer_01_a_macro,Ravager,L,khaak,fight,136000,304.423,,,0,0,49.181,
ship_par_l_destroyer_01_a_macro,Odysseus Vanguard,L,paranid,fight,99000,209.751,1700,container,47,5030940,76.828,
ship_par_l_destroyer_01_b_macro,Odysseus Sentinel,L,paranid,fight,119000,251.701,2040,container,39,6042095,84.694,
ship_par_l_destroyer_02_a_macro,Odysseus E,L,paranid,fight,140000,325,2600,container,60,9791150,65.7,
ship_par_l_miner_liquid_01_a_macro,Chthonios (Gas) Vanguard,L,paranid,mine,23000,180.944,43500,liquid,40,1154890,52,
ship_par_l_miner_liquid_01_b_macro,Chthonios (Gas) Sentinel,L,paranid,mine,28000,217.132,47500,liquid,33,1395770,58,
ship_par_l_miner_liquid_02_a_macro,Chthonios E (Gas),L,paranid,mine,50000,153.679,45100,liquid,41,1591620,58,
ship_par_l_miner_solid_01_a_macro,Chthonios (Mineral) Vanguard,L,paranid,mine,23000,180.944,43500,solid,40,1154890,52,
ship_par_l_miner_solid_01_b_macro,Chthonios (Mineral) Sentinel,L,paranid,mine,28000,217.132,47500,solid,33,1395770,58,
ship_par_l_miner_solid_02_a_macro,Chthonios E (Mineral),L,paranid,mine,50000,153.678,44960,solid,41,1591625,58,
ship_par_l_trans_container_01_a_macro,Helios Vanguard,L,paranid,trade,37000,287.875,21000,container,71,1995760,91.477,
ship_par_l_trans_container_01_b_macro,Helios Sentinel,L,paranid,trade,45000,345.45,25200,container,59,2410810,102.272,
ship_par_l_trans_container_02_a_macro,Selene Vanguard,L,paranid,trade,33000,259.087,19000,container,71,1995760,86.079,
ship_par_l_trans_container_02_b_macro,Selene Sentinel,L,paranid,trade,40000,310.905,22800,container,59,2410810,95.795,
ship_par_l_trans_container_03_a_macro,Helios E,L,paranid,trade,55000,294.433,25500,container,96,3470000,92.706,
ship_tel_l_destroyer_01_a_macro,Phoenix Vanguard,L,teladi,fight,104000,219.416,3700,container,50,5273360,92.271,
ship_tel_l_destroyer_01_b_macro,Phoenix Sentinel,L,teladi,fight,124000,263.299,4440,container,41,6307905,101.926,
ship_tel_l_destroyer_02_a_macro,Phoenix E,L,teladi,fight,123200,325,4000,container,44,6034866,60,
ship_tel_l_miner_liquid_01_a_macro,Crane (Gas) Vanguard,L,teladi,mine,30000,235.019,52600,liquid,52,1503310,83.741,
ship_tel_l_miner_liquid_01_b_macro,Crane (Gas) Sentinel,L,teladi,mine,36000,282.023,58000,liquid,43,1804390,92.789,
ship_tel_l_miner_liquid_02_a_macro,Crane E (Gas),L,teladi,mine,56000,266.716,58500,liquid,49,1922187,95,
ship_tel_l_miner_solid_01_a_macro,Crane (Mineral) Vanguard,L,teladi,mine,30000,235.019,54800,solid,52,1503310,83.741,
ship_tel_l_miner_solid_01_b_macro,Crane (Mineral) Sentinel,L,teladi,mine,36000,282.023,60800,solid,43,1804390,92.789,
ship_tel_l_miner_solid_02_a_macro,Crane E (Mineral),L,teladi,mine,56000,267.133,62300,solid,49,1922187,95,
ship_tel_l_trans_container_01_a_macro,Pelican Vanguard,L,teladi,trade,52000,402.059,40800,container,100,2652815,165.566,
ship_tel_l_trans_container_01_b_macro,Pelican Sentinel,L,teladi,trade,63000,482.471,51000,container,83,3199035,187.68,
ship_tel_l_trans_container_02_a_macro,Heron Vanguard,L,teladi,trade,48000,367.5,36800,container,101,2436610,156.062,
ship_tel_l_trans_container_02_b_macro,Heron Sentinel,L,teladi,trade,57000,441,46000,container,84,2908725,176.275,
ship_tel_l_trans_container_03_a_macro,Heron E,L,teladi,trade,64000,490.528,62000,container,121,3551033,189.895,
ship_xen_l_terraformer_01_a_macro,H,L,xenon,fight,112000,238.419,12000,container liquid solid,16,1676240,175.368,
ship_arg_m_bomber_01_a_macro,Minotaur Vanguard,M,argon,fight,16500,28.75,880,container,9,750580,5.8,
ship_arg_m_bomber_01_b_macro,Minotaur Sentinel,M,argon,fight,18800,32,1056,container,7,888430,6.5,
ship_arg_m_bomber_02_a_macro,Minotaur Raider,M,argon,fight,14600,25,2370,container,15,741015,4.7,
ship_arg_m_frigate_01_a_macro,Cerberus Vanguard,M,argon,fight,19000,34.432,1760,container,14,963665,9,
ship_arg_m_frigate_01_b_macro,Cerberus Sentinel,M,argon,fight,22000,41.318,2112,container,11,1145000,9.9,
ship_arg_m_miner_liquid_01_a_macro,Sunder (Gas) Vanguard,M,argon,mine,6000,30.292,10400,liquid,9,127545,4.08,
ship_arg_m_miner_liquid_01_b_macro,Sunder (Gas) Sentinel,M,argon,mine,7000,38.926,12480,liquid,7,161380,4.89,
ship_arg_m_miner_solid_01_a_macro,Drill (Mineral) Vanguard,M,argon,mine,6000,32.438,9800,solid,9,131965,4.29,
ship_arg_m_miner_solid_01_b_macro,Drill (Mineral) Sentinel,M,argon,mine,7000,36.351,11760,solid,7,155915,4.68,
ship_arg_m_trans_container_01_a_macro,Mercury Vanguard,M,argon,trade,6000,38,8200,container,17,173355,7.1,
ship_arg_m_trans_container_01_b_macro,Mercury Sentinel,M,argon,trade,7000,44,9840,container,14,208235,8.1,
ship_arg_m_trans_container_02_a_macro,Ides Vanguard,M,argon,trade,5400,36,7400,container,19,199358,6.7,
ship_arg_m_trans_container_02_b_macro,Ides Sentinel,M,argon,trade,6400,42,8880,container,15,239470,7.6,
ship_gen_m_transdrone_container_01_a_macro,Medium Drop Drone,M,,trade,10000,42,,,,46600,7,
ship_gen_m_tugboat_01_a_macro,Manticore,M,argon,salvage,8000,63.562,1360,container,7,402755,30.344,
ship_kha_m_fighter_01_a_macro,Queen's Guard,M,khaak,fight,4000,16,,,0,0,3.25,
ship_kha_m_fighter_02_a_macro,Hive Guard,M,khaak,fight,3000,12,,,0,0,2.5,
ship_par_m_corvette_01_a_macro,Nemesis Vanguard,M,paranid,fight,13000,22,560,container,8,622295,3.547,
ship_par_m_corvette_01_b_macro,Nemesis Sentinel,M,paranid,fight,15000,26.5,672,container,6,746320,4.05,
ship_par_m_frigate_01_a_macro,Gorgon Vanguard,M,paranid,fight,20500,37,1630,container,16,1098300,11.35,
ship_par_m_frigate_01_b_macro,Gorgon Sentinel,M,paranid,fight,23000,44,1956,container,13,1323040,13.161,
ship_par_m_miner_liquid_01_a_macro,Plutus (Gas) Vanguard,M,paranid,mine,5100,33,9600,liquid,10,133010,3.32,
ship_par_m_miner_liquid_01_b_macro,Plutus (Gas) Sentinel,M,paranid,mine,6200,39.553,11520,liquid,8,162505,3.83,
ship_par_m_miner_solid_01_a_macro,Plutus (Mineral) Vanguard,M,paranid,mine,5100,33,9000,solid,10,133010,3.32,
ship_par_m_miner_solid_01_b_macro,Plutus (Mineral) Sentinel,M,paranid,mine,6200,39.553,11520,solid,8,162505,3.83,
ship_par_m_trans_container_01_a_macro,Demeter Vanguard,M,paranid,trade,6300,46,7900,container,19,176650,5.8,
ship_par_m_trans_container_01_b_macro,Demeter Sentinel,M,paranid,trade,7300,50,9480,container,15,229050,6.5,
ship_par_m_trans_container_02_a_macro,Hermes Vanguard,M,paranid,trade,5000,38,7100,container,20,176650,5.1,
ship_par_m_trans_container_02_b_macro,Hermes Sentinel,M,paranid,trade,5900,42,8520,container,16,229050,5.7,
ship_par_m_trans_container_03_a_macro,Prometheus,M,paranid,trade,12300,26,4000,container,12,292080,3.5,
ship_tel_m_bomber_01_a_macro,Peregrine Vanguard,M,teladi,fight,16000,32,850,container,9,735710,9,
ship_tel_m_bomber_01_b_macro,Peregrine Sentinel,M,teladi,fight,17400,36,1020,container,7,870425,10.2,
ship_tel_m_frigate_01_a_macro,Osprey Vanguard,M,teladi,fight,36000,68,2430,container,15,1044205,15.1,
ship_tel_m_frigate_01_b_macro,Osprey Sentinel,M,teladi,fight,41000,77,2916,container,12,1263720,19.2,
ship_tel_m_miner_liquid_01_a_macro,Manorina (Gas) Vanguard,M,teladi,mine,4750,29,10800,liquid,9,118865,4.4,
ship_tel_m_miner_liquid_01_b_macro,Manorina (Gas) Sentinel,M,teladi,mine,5400,34.47,12960,liquid,7,143940,4.92,
ship_tel_m_miner_solid_01_a_macro,Manorina (Mineral) Vanguard,M,teladi,mine,4750,29,10000,solid,10,118865,4.4,
ship_tel_m_miner_solid_01_b_macro,Manorina (Mineral) Sentinel,M,teladi,mine,5400,34.47,12000,solid,8,143940,4.92,
ship_tel_m_trans_container_01_a_macro,Vulture Vanguard,M,teladi,trade,10200,64,12080,container,16,266020,11.061,
ship_tel_m_trans_container_01_b_macro,Vulture Sentinel,M,teladi,trade,11800,70,15100,container,13,308615,12.971,
ship_tel_m_trans_container_02_a_macro,Tern Vanguard,M,teladi,trade,8800,56,10880,container,20,266020,10,
ship_tel_m_trans_container_02_b_macro,Tern Sentinel,M,teladi,trade,10000,64,13600,container,16,308615,11.825,
ship_tel_m_trans_container_03_a_macro,Cormorant Vanguard,M,teladi,trade,14000,65,7900,container,17,418830,15.8,
ship_xen_m_corvette_01_a_macro,B,M,xenon,fight,16600,25,750,container,5,99600,4.59,
ship_xen_m_corvette_02_a_macro,PE,M,xenon,fight,12600,24.634,570,container,1,85300,11.906,
ship_xen_m_fighter_01_a_macro,P,M,xenon,fight,10000,25.959,,,0,78620,4.944,
ship_xen_m_miner_01_a_macro,S,M,xenon,mine,8000,49.951,9500,container solid,0,71350,8.243,
ship_xen_m_miner_solid_01_a_macro,SE,M,xenon,mine,8400,46.638,9500,container solid,1,71350,6.4,
ship_arg_s_fighter_01_a_macro,Nova Vanguard,S,argon,fight,3100,6,240,container,3,131970,3.58,
ship_arg_s_fighter_01_b_macro,Nova Sentinel,S,argon,fight,3800,6.75,288,container,2,160100,3.7,
ship_arg_s_fighter_02_a_macro,Elite Vanguard,S,argon,fight,1800,3.772,150,container,2,76755,2.193,
ship_arg_s_fighter_02_b_macro,Elite Sentinel,S,argon,fight,2200,4.526,180,container,1,92990,2.382,
ship_arg_s_fighter_03_a_macro,Pulsar Vanguard,S,argon,fight,3600,11,150,container,3,113565,5.763,
ship_arg_s_fighter_04_a_macro,Quasar Vanguard,S,argon,fight,3300,8.6,190,container,3,100545,4.441,
ship_arg_s_heavyfighter_01_a_macro,Eclipse Vanguard,S,argon,fight,4400,9.304,350,container,3,187105,5.155,
ship_arg_s_heavyfighter_01_b_macro,Eclipse Sentinel,S,argon,fight,5300,11.165,420,container,2,226005,5.539,
ship_arg_s_heavyfighter_02_a_macro,Eclipse Vanguard,S,argon,fight,4000,8.406,320,container,3,169745,4.72,
ship_arg_s_miner_solid_01_a_macro,Courier (Mineral),S,argon,mine,2800,14,2600,solid,3,83265,5.46,
ship_arg_s_scout_01_a_macro,Discoverer Vanguard,S,argon,fight,1400,6.343,540,container,2,87605,3.335,
ship_arg_s_scout_01_b_macro,Discoverer Sentinel,S,argon,fight,1700,7.611,648,container,1,105930,3.509,
ship_arg_s_trans_container_01_a_macro,Courier Vanguard,S,argon,trade,2800,18,1960,container,5,155760,6.7,
ship_arg_s_trans_container_01_b_macro,Courier Sentinel,S,argon,trade,3200,19.5,2352,container,4,185980,7.2,
ship_arg_s_trans_container_02_a_macro,Callisto Vanguard,S,argon,trade,2100,12,1030,container,3,80050,3.7,
ship_arg_s_trans_container_02_b_macro,Callisto Sentinel,S,argon,trade,2500,13.5,1236,container,2,98455,3.9,
ship_gen_s_fighter_01_a_macro,Nodan Vanguard,S,,fight,3900,8.113,700,container,3,77630,4.283,
ship_gen_s_fighter_01_b_macro,Nodan Sentinel,S,paranid,fight,4600,9.736,840,container,2,95390,4.506,
ship_gen_s_fightingdrone_01_a_macro,Defence Drone,S,,fight,1900,7.365,,,0,13660,3.969,
ship_gen_s_fightingdrone_explosive_01_a_macro,Defence Drone,S,,fight,1200,7.365,,,0,,3.969,
ship_gen_s_lasertower_01_a_macro,Laser Tower Mk2,S,,fight,2500,5,,,0,14770,1,
ship_gen_s_miningdrone_liquid_01_a_macro,Gas Collector Drone,S,,mine,1700,10.935,,,0,13860,5.555,
ship_gen_s_miningdrone_solid_01_a_macro,Mining Drone,S,,mine,1700,10.935,,,0,13860,5.555,
ship_gen_s_transdrone_container_01_a_macro,Small Drop Drone,S,,trade,2200,1,,,,23300,5.5,
ship_kha_s_fighter_01_a_macro,Protector,S,khaak,fight,800,4,,,0,0,1,
ship_kha_s_fighter_02_a_macro,Forager,S,khaak,fight,600,3.33,,,0,0,1,
ship_par_s_fighter_01_a_macro,Perseus Vanguard,S,paranid,fight,3700,7.756,240,container,3,156805,3.993,
ship_par_s_fighter_01_b_macro,Perseus Sentinel,S,paranid,fight,4400,9.307,288,container,2,188150,4.206,
ship_par_s_fighter_02_a_macro,Theseus Vanguard,S,paranid,fight,4200,8.723,270,container,3,177380,4.112,
ship_par_s_fighter_02_b_macro,Theseus Sentinel,S,paranid,fight,5000,10.468,324,container,2,211940,4.367,
ship_par_s_heavyfighter_01_a_macro,Ares,S,paranid,fight,4800,12.038,270,container,2,243540,7.8,
ship_par_s_miner_solid_01_a_macro,Tethys (Mineral),S,paranid,mine,2100,11,2100,solid,3,83265,4.6,
ship_par_s_scout_01_a_macro,Pegasus Vanguard,S,paranid,fight,1300,5.765,440,container,2,80050,3.255,
ship_par_s_scout_01_b_macro,Pegasus Sentinel,S,paranid,fight,1600,6.918,528,container,1,97330,3.446,
ship_par_s_trans_container_01_a_macro,Tethys Vanguard,S,paranid,trade,2100,16.795,1580,container,5,150295,5.236,
ship_par_s_trans_container_01_b_macro,Tethys Sentinel,S,paranid,trade,2600,20.155,1896,container,4,183810,5.698,
ship_tel_s_fighter_01_a_macro,Falcon Vanguard,S,teladi,fight,3900,8.091,612,container,3,164360,3.864,
ship_tel_s_fighter_01_b_macro,Falcon Sentinel,S,teladi,fight,4600,9.709,730,container,2,195705,4.074,
ship_tel_s_fighter_02_a_macro,Buzzard Vanguard,S,teladi,fight,4100,8.698,300,container,3,157850,5.046,
ship_tel_s_fighter_02_b_macro,Buzzard Sentinel,S,teladi,fight,5000,10.437,360,container,2,190320,5.422,
ship_tel_s_miner_solid_01_a_macro,Magpie (Mineral),S,teladi,mine,2400,14.5,3500,solid,3,90820,4.88,
ship_tel_s_scout_01_a_macro,Kestrel Vanguard,S,teladi,fight,2500,6.609,760,container,3,91945,3.397,
ship_tel_s_scout_01_b_macro,Kestrel Sentinel,S,teladi,fight,3100,7.931,912,container,2,110350,3.579,
ship_tel_s_scout_02_a_macro,Guillemot Vanguard,S,teladi,fight,2800,9.899,960,container,3,139525,6.543,
ship_tel_s_scout_02_b_macro,Guillemot Sentinel,S,teladi,fight,3300,11.879,1152,container,2,166530,7.354,
ship_tel_s_trans_container_01_a_macro,Magpie Vanguard,S,teladi,trade,2600,18.466,3096,container,7,168700,5.76,
ship_tel_s_trans_container_01_b_macro,Magpie Sentinel,S,teladi,trade,3000,22.159,3870,container,5,200045,6.28,
ship_tel_s_trans_container_02_a_macro,Raven,S,teladi,trade,6400,24,2580,container,5,566090,7.54,
ship_xen_s_fighter_01_a_macro,N,S,xenon,fight,2500,6.508,,,0,34530,4.578,
ship_xen_s_fighter_02_a_macro,M,S,xenon,fight,2900,7.622,,,0,39840,6.544,
ship_xen_s_heavyfighter_01_a_macro,F,S,xenon,fight,4800,10.139,280,container,2,67800,7.358,
ship_xen_s_scout_01_a_macro,T,S,xenon,fight,1200,5.363,,,0,25880,1.71,
ship_arg_xl_builder_01_a_macro,Mammoth Vanguard,XL,argon,build,115000,885.723,50,container,219,9123765,257.145,
ship_arg_xl_builder_01_b_macro,Mammoth Sentinel,XL,argon,build,138000,1062.868,50,container,182,10948470,292.574,
ship_arg_xl_carrier_01_a_macro,Colossus Vanguard,XL,argon,fight,216000,549.202,19000,container,123,10090050,189.84,
ship_arg_xl_carrier_01_b_macro,Colossus Sentinel,XL,argon,fight,259000,659.043,22800,container,102,12102675,211.809,
ship_arg_xl_carrier_02_a_macro,Colossus E,XL,argon,fight,275000,1200,25000,container,131,15359641,157,
ship_arg_xl_resupplier_01_a_macro,Nomad Vanguard,XL,argon,auxiliary,174000,820,53200,container,220,8600515,258.326,
ship_arg_xl_resupplier_01_b_macro,Nomad Sentinel,XL,argon,auxiliary,200000,1000,54500,container,183,10313175,293.991,
ship_kha_xl_battleship_01_a_macro,Obliterator,XL,khaak,fight,275000,487.388,,,0,0,133.108,
ship_par_xl_builder_01_a_macro,Heracles Vanguard,XL,paranid,build,149000,1000,50,container,219,9123765,230.64,
ship_par_xl_builder_01_b_macro,Heracles Sentinel,XL,paranid,build,178000,1100,50,container,182,10948470,264.768,
ship_par_xl_carrier_01_a_macro,Zeus Vanguard,XL,paranid,fight,281000,714.616,20000,container,159,13127715,208.991,
ship_par_xl_carrier_01_b_macro,Zeus Sentinel,XL,paranid,fight,337000,857.54,24000,container,132,15747905,235.789,
ship_par_xl_carrier_02_a_macro,Zeus E,XL,paranid,fight,303000,850,22000,container,143,17540630,153.812,
ship_par_xl_resupplier_01_a_macro,Atlas Vanguard,XL,paranid,auxiliary,130000,999.739,29000,container,247,9640505,262.451,
ship_par_xl_resupplier_01_b_macro,Atlas Sentinel,XL,paranid,auxiliary,156000,1199.686,34800,container,205,11568815,299.941,
ship_par_xl_resupplier_02_a_macro,Atlas E,XL,paranid,auxiliary,178000,1400,56100,container,258,15457615,310.646,
ship_tel_xl_builder_01_a_macro,Albatross Vanguard,XL,teladi,build,128000,982.947,50,container,219,9123765,210,
ship_tel_xl_builder_01_b_macro,Albatross Sentinel,XL,teladi,build,154000,1179.536,50,container,182,10948470,240,
ship_tel_xl_carrier_01_a_macro,Condor Vanguard,XL,teladi,fight,290000,800,28000,container,135,11170550,250,
ship_tel_xl_carrier_01_b_macro,Condor Sentinel,XL,teladi,fight,310000,950,33600,container,112,13409595,290,
ship_tel_xl_resupplier_01_a_macro,Stork Vanguard,XL,teladi,auxiliary,162000,896.85,50600,container,200,7784855,310,
ship_tel_xl_resupplier_01_b_macro,Stork Sentinel,XL,teladi,auxiliary,186000,1076.221,52600,container,166,9342630,360,
ship_tfm_xl_carrier_01_a_macro,Unknown Ship,XL,xenon,fight,735000,1874.085,,,0,,454.817,
ship_tfm_xl_carrier_02_a_macro,Unknown Ship,XL,xenon,fight,1190000,2104.8,,,0,,1221.09,
ship_xen_xl_carrier_01_a_macro,I,XL,xenon,fight,480000,800,,,0,5059920,255.39,
ship_xen_xl_destroyer_01_a_macro,K,XL,xenon,fight,265000,400,,,0,2432440,164.325,
ship_arg_xs_cv_01_a_macro,Mass Transporter C,XS,argon,trade,150,3.1,,,,,1.5,
ship_arg_xs_cv_02_a_macro,Mass Transporter D,XS,argon,trade,100,3.1,,,,,1.5,
ship_arg_xs_police_01_a_macro,Argon Station Security Vessel,XS,argon,fight,281,2.872,,,,11420,1.574,
ship_arg_xs_pv_01_a_macro,Civilian Ship A,XS,argon,trade,184,3.121,,,,,1.624,
ship_arg_xs_pv_01_b_macro,Civilian Ship A,XS,argon,trade,184,3.121,,,,,1.624,
ship_arg_xs_pv_01_c_macro,Civilian Ship A,XS,argon,trade,184,3.021,,,,,1.624,
ship_arg_xs_pv_01_d_macro,Civilian Ship A,XS,argon,trade,184,3.121,,,,,1.524,
ship_arg_xs_pv_02_a_macro,Tour Bus A,XS,argon,trade,209,3.549,,,,,1.71,
ship_arg_xs_pv_03_a_macro,Mass Transporter A,XS,argon,trade,200,1,,,,,1.5,
ship_arg_xs_pv_03_b_macro,Mass Transporter A,XS,argon,trade,260,3.72,,,,,1.575,
ship_arg_xs_pv_04_a_macro,Mass Transporter B,XS,argon,trade,150,3.1,,,,,1.5,
ship_arg_xs_pv_04_b_macro,Mass Transporter B,XS,argon,trade,260,3.72,,,,,1.575,
ship_arg_xs_pv_05_a_macro,Short Range Transporter A,XS,argon,trade,100,3.1,,,,,1.5,
ship_arg_xs_pv_05_b_macro,Short Range Transporter A,XS,argon,trade,130,3.72,,,,,1.575,
ship_arg_xs_pv_05_c_macro,Short Range Transporter A,XS,argon,trade,100,3.1,,,,,1.5,
ship_gen_xs_boardingpod_01_a_macro,Boarding Pod,XS,,fight,200,5,,,5,,2,
ship_gen_xs_buildingdrone_01_a_macro,Building Drone,XS,,build,207,5.283,,,,15270,2.057,
ship_gen_xs_cargodrone_container_01_a_macro,Cargo Drone,XS,,trade,523,14,,,,,3.8,
ship_gen_xs_cargodrone_empty_01_a_macro,Cargo Drone,XS,,trade,523,13.355,,,,16150,3.671,
ship_gen_xs_cargodrone_equipment_01_a_macro,Cargo Drone,XS,,trade,523,14,,,,,3.8,
ship_gen_xs_cargodrone_liquid_01_a_macro,Cargo Drone,XS,,trade,523,14,,,,,3.8,
ship_gen_xs_cargodrone_pickup_01_a_macro,Cargo Drone,XS,,trade,523,0.7368,,,,,0.2235,
ship_gen_xs_cargodrone_solid_01_a_macro,Cargo Drone,XS,,trade,523,14,,,,,3.8,
ship_gen_xs_distressbeacon_01_a_macro,Autonomous Distress Drone,XS,,fight,250,3.017,,,0,,1.45,
ship_gen_xs_escapepod_01_a_macro,Escape Pod,XS,,trade,209,3.549,,,3,,1.71,
ship_gen_xs_lasertower_01_a_macro,Laser Tower Mk1,XS,,fight,700,1.5,,,,9450,1,
ship_gen_xs_repairdrone_01_a_macro,Repair Drone,XS,,build,207,5.283,,,,15270,2.057,
ship_par_xs_police_01_a_macro,Paranid Station Security Vessel,XS,paranid,fight,281,2.872,,,,11420,1.574,
ship_par_xs_pv_01_a_macro,Civilian Ship B,XS,paranid,trade,184,3.121,,,,,1.624,
ship_par_xs_pv_02_a_macro,Mass Transporter E,XS,paranid,trade,184,3.121,,,,,1.624,
ship_par_xs_pv_03_a_macro,Civilian Ship C,XS,paranid,trade,184,3.121,,,,,1.624,
ship_par_xs_pv_04_a_macro,Short Range Transporter B,XS,paranid,trade,184,3.121,,,,,1.624,
ship_tel_xs_police_01_a_macro,Teladi Station Security Vessel A,XS,teladi,fight,281,2.872,,,,11420,1.574,
ship_tel_xs_police_02_a_macro,Teladi Station Security Vessel B,XS,teladi,fight,281,2.872,,,,11420,1.574,
ship_tel_xs_police_03_a_macro,Teladi Station Security Vessel C,XS,teladi,fight,281,2.872,,,,11420,1.574,
ship_tel_xs_pv_01_a_macro,Civilian Ship D,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_01_b_macro,Civilian Ship D,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_02_a_macro,Short Range Transporter C,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_02_b_macro,Short Range Transporter C,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_03_a_macro,Tour Bus B,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_03_b_macro,Tour Bus B,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_04_a_macro,Mass Transporter F,XS,teladi,trade,184,3.121,,,,,1.624,
ship_tel_xs_pv_04_b_macro,Mass Transporter F,XS,teladi,trade,184,3.121,,,,,1.624,
ship_xen_xs_pv_01_a_macro,Drone 1,XS,xenon,trade,184,3.121,,,,,1.624,
ship_xen_xs_pv_02_a_macro,Drone 2,XS,xenon,trade,184,3.121,,,,,1.624,
ship_xen_xs_pv_03_a_macro,Drone 3,XS,xenon,trade,184,3.121,,,,,1.624,
ship_xen_xs_pv_04_a_macro,Drone 4,XS,xenon,trade,184,3.121,,,,,1.624,
ship_bor_l_carrier_01_a_macro,Guppy,L,boron,fight,117000,341.545,8000,container,60,6513220,141.833,ego_dlc_boron
ship_bor_l_destroyer_01_a_macro,Ray,L,boron,fight,131000,340,2000,container,54,8249396,96.868,ego_dlc_boron
ship_bor_l_miner_liquid_01_a_macro,Rorqual (Gas),L,boron,mine,42000,294.322,49600,liquid,52,1381332,74,ego_dlc_boron
ship_bor_l_miner_solid_01_a_macro,Rorqual (Mineral),L,boron,mine,42000,294.322,48500,solid,52,1359733,74,ego_dlc_boron
ship_bor_l_trans_container_01_a_macro,Sturgeon,L,boron,trade,40000,320.723,30000,container,63,4401675,148.778,ego_dlc_boron
ship_bor_m_corvette_01_a_macro,Hydra,M,boron,fight,8400,23.782,400,container,6,1468656,6.968,ego_dlc_boron
ship_bor_m_corvette_02_a_macro,Hydra Regal,M,boron,fight,8800,24.216,400,container,6,1624234,6.704,ego_dlc_boron
ship_bor_m_gunboat_01_a_macro,Thresher,M,boron,fight,11500,35,850,container,8,1252370,5.7,ego_dlc_boron
ship_bor_m_miner_liquid_01_a_macro,Porpoise (Gas),M,boron,mine,9600,31.939,8600,liquid,7,164592,8.073,ego_dlc_boron
ship_bor_m_miner_solid_01_a_macro,Porpoise (Mineral),M,boron,mine,9600,31.939,7800,solid,7,172090,8.073,ego_dlc_boron
ship_bor_m_trans_container_01_a_macro,Dolphin,M,boron,trade,9000,59.553,9200,container,21,255620,19.127,ego_dlc_boron
ship_bor_s_fighter_01_a_macro,Mako,S,boron,fight,3100,6.672,270,container,2,133165,2.543,ego_dlc_boron
ship_bor_s_heavyfighter_01_a_macro,Barracuda,S,boron,fight,3700,7.791,330,container,2,356250,2.28,ego_dlc_boron
ship_bor_s_miner_solid_01_a_macro,Grouper (Mineral),S,boron,mine,4000,9.6,2560,solid,2,83723,4.457,ego_dlc_boron
ship_bor_s_miner_solid_01_story_macro,ship_bor_s_miner_solid_01_story_macro,S,,,,,,,,83723,,ego_dlc_boron
ship_bor_s_scout_01_a_macro,Piranha,S,boron,fight,4000,7.5,790,container,2,102657,2.614,ego_dlc_boron
